Date,AAPL,ABT,ACN,ADBE,ADI,ADM,AFL,AIG,ALL,AMAT,AMD,AMGN,APA,AXP,BA,BAC,BAX,BDX,BKR,BMY,BSX,C,CAG,CAT,CB,CHD,CI,CINF,CL,CLX,COP,COST,CRM,CSCO,CSX,CVS,CVX,DE,DVN,EL,EMR,EOG,ETN,FANG,FDX,GD,GE,GILD,GIS,GS,HAL,HON,HPQ,HSY,HUM,IBM,INTC,ITW,JNJ,JPM,KLAC,KMB,KMI,KO,KR,LLY,LMT,LRCX,MDT,MET,MKC,MMM,MO,MPC,MRK,MS,MSFT,MU,NOC,NSC,NTAP,NVDA,OKE,ORCL,OXY,PEP,PFE,PG,PH,PNC,PSX,QCOM,REGN,ROK,RTX,SCHW,SLB,STT,STZ,SYK,SYY,TFC,TRV,TSN,TXN,UNH,UNP,UPS,USB,VLO,VRTX,WFC,WMB,WMT,XOM,ZBH
1999-01-04,0.30844351649284363,10.960000991821289,,6.18379545211792,9.150606155395508,7.66554594039917,6.418102741241455,617.0723876953125,20.20353889465332,7.996334552764893,14.0,17.916017532348633,6.996191501617432,20.541481018066406,20.98151969909668,14.826937675476074,10.036762237548828,21.296375274658203,7.959778785705566,22.64032554626465,13.21875,128.00779724121094,8.97391128540039,11.901590347290039,19.398788452148438,2.2095913887023926,20.918439865112305,14.056248664855957,12.470409393310547,26.90013313293457,6.8300909996032715,23.778850555419922,,15.277767181396484,1.405774474143982,16.481922149658203,14.744881629943848,9.750876426696777,9.075693130493164,15.249032020568848,14.598627090454102,2.8756601810455322,6.5926079750061035,,27.619857788085938,16.666357040405273,85.61969757080078,0.8477606773376465,8.216687202453613,,9.681217193603516,22.32386589050293,6.632336139678955,16.395662307739258,16.71298599243164,44.17241287231445,17.127546310424805,17.007652282714844,20.423526763916016,22.039257049560547,1.1989896297454834,20.502527236938477,,15.754227638244629,10.035953521728516,42.043556213378906,19.991464614868164,0.5373164415359497,22.154102325439453,,4.792767524719238,14.710307121276855,2.3791775703430176,,26.932666778564453,17.25053596496582,21.396928787231445,24.347957611083984,18.408447265625,17.12638282775879,8.233590126037598,,2.1261863708496094,5.6902923583984375,3.7710375785827637,20.026611328125,14.189809799194336,21.908491134643555,14.201373100280762,22.471986770629883,,2.113267183303833,7.8632965087890625,8.599306106567383,9.604660987854004,13.13796615600586,12.44713020324707,21.25712776184082,6.0187249183654785,10.596257209777832,7.0158843994140625,14.326298713684082,17.64411163330078,13.378326416015625,13.08881664276123,4.306328773498535,6.546281337738037,,12.229432106018066,2.7325282096862793,14.71875,9.489004135131836,8.244305610656738,8.485716819763184,15.350984573364258,
1999-01-05,0.3238654136657715,10.974048614501953,,6.052225112915039,9.416390419006348,7.694364547729492,6.217536449432373,621.7178344726562,20.009885787963867,8.97755241394043,13.84375,17.853452682495117,6.77869176864624,20.149368286132812,22.45459747314453,15.026069641113281,10.016911506652832,21.203508377075195,7.823950290679932,22.77056312561035,13.0625,130.39297485351562,9.167089462280273,11.870195388793945,18.930042266845703,2.194711923599243,21.086862564086914,13.798979759216309,12.608973503112793,26.85626792907715,6.760705947875977,24.23613739013672,,15.538243293762207,1.3994619846343994,16.036457061767578,14.53151798248291,9.916144371032715,9.075693130493164,15.431654930114746,14.717920303344727,2.8756601810455322,6.546464920043945,,27.281091690063477,16.61311912536621,87.42900085449219,0.8317649960517883,8.334165573120117,,9.741352081298828,22.451967239379883,6.704492568969727,16.42855453491211,17.20294189453125,45.77154541015625,17.473106384277344,17.217411041259766,20.500713348388672,22.21173667907715,1.3791652917861938,20.382055282592773,,16.07663345336914,9.971067428588867,41.95186996459961,20.33081817626953,0.714065670967102,22.002490997314453,,4.731095790863037,14.796544075012207,2.3706915378570557,,27.112524032592773,17.784059524536133,22.231557846069336,26.328702926635742,18.66323471069336,16.8211612701416,8.210715293884277,,2.141134738922119,5.863979339599609,3.7710375785827637,20.057376861572266,14.232892990112305,22.28883934020996,14.014864921569824,22.578872680664062,,2.177595615386963,7.8632965087890625,8.965235710144043,9.888134956359863,12.958809852600098,12.430854797363281,21.70781707763672,5.697813987731934,10.571723937988281,6.953100681304932,14.37163257598877,17.7701416015625,13.22000503540039,13.37989616394043,4.377604007720947,6.764792442321777,,12.01901912689209,2.754624128341675,13.9375,9.563375473022461,8.158957481384277,8.551501274108887,15.218873977661133,
1999-01-06,0.31218189001083374,10.889737129211426,,5.835521221160889,9.644207000732422,7.752001762390137,6.290468215942383,620.9434814453125,19.9130802154541,9.66553020477295,13.625,17.72831153869629,7.17744255065918,21.019033432006836,22.97216796875,15.776606559753418,10.612561225891113,20.708250045776367,8.55744743347168,22.856369018554688,13.65625,138.34376525878906,9.588558197021484,12.184223175048828,19.182449340820312,2.131474018096924,21.558460235595703,14.219961166381836,12.539689064025879,27.017148971557617,6.9490509033203125,25.150714874267578,,15.989065170288086,1.4646999835968018,16.617496490478516,14.958255767822266,10.356864929199219,9.203779220581055,15.180545806884766,15.359122276306152,2.9270105361938477,6.7021942138671875,,28.33724021911621,16.61311912536621,89.13179016113281,0.8297652006149292,8.34599494934082,,10.482977867126465,22.900375366210938,6.890894412994385,16.839675903320312,18.073974609375,45.56033706665039,18.35917091369629,17.3048038482666,20.747711181640625,22.69085121154785,1.416838526725769,20.43024444580078,,16.472328186035156,9.98188304901123,41.61576843261719,20.176570892333984,0.7670905590057373,21.81357765197754,,4.739903926849365,15.48647403717041,2.40463924407959,,27.64082908630371,19.13268280029297,22.95238494873047,29.071279525756836,17.66000747680664,17.09246826171875,8.393683433532715,,2.141134738922119,6.136916637420654,3.867377281188965,20.58034896850586,14.512954711914062,22.54749870300293,14.814192771911621,22.926252365112305,,2.265747547149658,8.049044609069824,9.239675521850586,9.993738174438477,14.063596725463867,13.358293533325195,22.38382911682129,5.737109184265137,10.510407447814941,7.141448974609375,14.666325569152832,18.022199630737305,13.417901992797852,13.774255752563477,4.561738014221191,7.14718770980835,,12.086350440979004,2.725163221359253,14.875,9.474128723144531,8.414996147155762,8.696218490600586,15.826568603515625,
1999-01-07,0.3364836871623993,10.749228477478027,,5.959352493286133,9.416390419006348,7.723182201385498,6.23576545715332,648.0424194335938,19.493513107299805,9.857268333435059,13.71875,18.33316421508789,7.0868120193481445,21.272581100463867,22.81292152404785,16.557775497436523,10.41401195526123,19.81058120727539,8.829109191894531,23.063264846801758,13.59375,148.83872985839844,9.325138092041016,12.29412841796875,18.605531692504883,2.0570778846740723,21.878463745117188,13.752195358276367,12.331852912902832,26.90013313293457,6.760705947875977,24.98444175720215,,16.61019515991211,1.4520727396011353,16.152667999267578,15.07055950164795,10.081416130065918,9.148884773254395,14.98651123046875,15.299469947814941,2.814037561416626,6.609913349151611,,27.83905792236328,16.1871337890625,87.641845703125,0.8264333605766296,8.378849029541016,,11.384963989257812,22.676176071166992,7.011152267456055,16.527225494384766,17.529582977294922,45.90734100341797,18.32372283935547,17.654396057128906,20.547029495239258,23.62990951538086,1.3955451250076294,20.406158447265625,,16.28181266784668,9.884553909301758,40.27134323120117,19.682947158813477,0.7511828541755676,21.75666046142578,,4.695857048034668,15.129196166992188,2.4244422912597656,,27.393535614013672,19.96259880065918,22.838563919067383,30.71681785583496,17.325592041015625,16.92290496826172,8.462301254272461,,2.1187145709991455,6.037665367126465,3.8398513793945312,20.057376861572266,14.311887741088867,22.121498107910156,14.467824935913086,22.872793197631836,,2.2848072052001953,7.9252119064331055,9.21353816986084,9.888134956359863,13.854582786560059,13.895228385925293,22.27115821838379,5.658520698547363,10.473614692687988,6.9060187339782715,14.484973907470703,17.70712661743164,13.57623291015625,13.746072769165039,4.484522819519043,7.047037124633789,,11.800180435180664,2.61468505859375,14.34375,9.503876686096191,8.414996147155762,8.854089736938477,15.800143241882324,
1999-01-08,0.3364836871623993,10.707070350646973,,6.0444841384887695,9.131624221801758,7.66554594039917,6.062551021575928,663.9141235351562,20.655384063720703,10.015162467956543,14.0,18.489585876464844,7.0868120193481445,21.919130325317383,22.81292152404785,17.139816284179688,10.404086112976074,20.58443260192871,8.55744743347168,22.867265701293945,13.03125,147.4076690673828,9.623682975769043,12.812277793884277,19.146392822265625,2.0496368408203125,22.366899490356445,13.845755577087402,11.872868537902832,26.592954635620117,6.711137771606445,24.50635528564453,,17.10108757019043,1.5109978914260864,15.84278392791748,15.081790924072266,10.72412395477295,9.203779220581055,15.009333610534668,15.478414535522461,2.9578208923339844,6.5983757972717285,,28.038341522216797,15.92090892791748,87.16293334960938,0.8824171423912048,8.556288719177246,,11.024169921875,22.644142150878906,7.029191017150879,16.57655906677246,17.039628982543945,45.27369689941406,18.385759353637695,18.091394424438477,20.56247329711914,23.150800704956055,1.3857179880142212,20.81572151184082,,15.944748878479004,9.895366668701172,38.56027603149414,19.713804244995117,0.7706249356269836,21.81357765197754,,4.695857048034668,15.203112602233887,2.4725348949432373,,27.663320541381836,20.9259033203125,22.743724822998047,31.021549224853516,16.624929428100586,17.09246826171875,8.7367525100708,,2.1112399101257324,6.120372772216797,3.8260886669158936,20.36500358581543,14.046192169189453,21.710712432861328,14.654329299926758,23.086566925048828,,2.296720027923584,7.4298858642578125,9.226605415344238,10.199394226074219,14.541337013244629,13.553537368774414,22.045827865600586,6.162809371948242,10.436821937561035,7.141448974609375,14.462306022644043,17.80164909362793,13.615822792053223,14.084098815917969,4.3241472244262695,7.14718770980835,,11.732845306396484,2.61468505859375,14.5,9.474128723144531,8.414996147155762,8.788311004638672,15.707674026489258,
1999-01-11,0.3430260121822357,10.566555976867676,,6.0677032470703125,9.112639427185059,7.636724948883057,5.962273597717285,638.75146484375,20.52628517150879,10.015162467956543,15.9375,18.12459373474121,7.068688869476318,21.55147933959961,22.374967575073242,17.139816284179688,10.37430477142334,20.336790084838867,8.475942611694336,22.605913162231445,12.84375,146.9305877685547,9.14952278137207,13.314723014831543,19.002164840698242,2.004998207092285,22.501636505126953,13.611872673034668,11.725651741027832,26.315032958984375,6.582271099090576,24.11142921447754,,16.780506134033203,1.4899529218673706,15.552266120910645,15.115477561950684,10.57721996307373,9.185481071472168,14.67833423614502,15.135453224182129,2.8345792293548584,6.638751983642578,,27.779266357421875,16.57761001586914,84.87471771240234,0.8530920147895813,8.451139450073242,,10.943992614746094,22.291833877563477,6.926968574523926,16.09964942932129,17.475130081176758,45.68100357055664,19.812314987182617,17.881635665893555,19.806039810180664,23.380769729614258,1.439770221710205,20.28569984436035,,15.490435600280762,9.895366668701172,37.24642562866211,19.775508880615234,0.834254264831543,21.358335494995117,,4.651803016662598,15.48647403717041,2.500826120376587,,27.10127830505371,20.7480525970459,22.383310317993164,32.78899002075195,16.784177780151367,16.71942138671875,9.331398010253906,,2.1112399101257324,6.2444353103637695,3.867377281188965,20.118907928466797,13.529150009155273,21.239055633544922,14.068151473999023,22.872793197631836,,2.3634278774261475,7.367969989776611,9.095916748046875,9.977068901062012,15.034008979797363,13.76506519317627,21.538806915283203,6.287243366241455,10.2283296585083,6.7647600173950195,14.099616050720215,17.36054039001465,13.774134635925293,14.271880149841309,4.389486789703369,6.992406845092773,,11.67392635345459,2.5631275177001953,14.0625,9.117181777954102,8.124820709228516,8.590961456298828,15.060338973999023,
1999-01-12,0.3448951840400696,10.4682035446167,,6.029007434844971,8.770915031433105,7.492636680603027,5.79817008972168,621.7178344726562,20.461727142333984,9.642973899841309,15.75,17.853452682495117,6.887441158294678,20.765491485595703,21.698150634765625,16.404598236083984,10.37430477142334,20.120107650756836,8.04128646850586,22.4099178314209,12.5625,141.84214782714844,9.325138092041016,12.718070030212402,19.110332489013672,2.008718967437744,22.872177124023438,13.37799072265625,11.708332061767578,26.43204689025879,6.562441825866699,24.0490779876709,,15.728594779968262,1.4331324100494385,15.377962112426758,14.744881629943848,10.65067195892334,8.96590805053711,14.883785247802734,14.896852493286133,2.844849109649658,6.448413372039795,,27.201370239257812,16.133886337280273,83.22518157958984,0.8557577133178711,8.490571022033691,,10.663372039794922,21.939510345458984,6.776644229888916,15.852970123291016,17.148500442504883,44.67026901245117,19.21865463256836,17.724319458007812,19.713420867919922,22.65251922607422,1.4414085149765015,19.876115798950195,,15.343886375427246,9.906183242797852,37.399200439453125,19.6521053314209,0.834254264831543,21.130712509155273,,4.607751369476318,15.326312065124512,2.4583911895751953,,26.60669708251953,19.547636032104492,21.577138900756836,34.2516975402832,16.656770706176758,15.93941593170166,9.217040061950684,,2.0664000511169434,6.079019546508789,3.8260886669158936,19.688217163085938,13.062383651733398,21.528139114379883,13.775070190429688,22.231510162353516,,2.320544958114624,7.182223796844482,8.860679626464844,9.893689155578613,14.481619834899902,13.276930809020996,21.200803756713867,6.221751689910889,10.154743194580078,6.749062538146973,13.918274879455566,16.6358699798584,13.259591102600098,13.85875415802002,4.288509845733643,6.810315132141113,,11.303597450256348,2.504204273223877,13.625,8.84946346282959,8.073613166809082,8.459406852722168,14.954659461975098,
1999-01-13,0.3476998507976532,10.840352058410645,,6.075443267822266,8.808876991271973,7.636724948883057,5.980503559112549,628.68603515625,19.751708984375,9.902376174926758,13.875,18.187166213989258,6.7061967849731445,20.017520904541016,21.459274291992188,16.03700065612793,10.23531723022461,19.81058120727539,7.932613849639893,21.91990089416504,12.375,132.77825927734375,9.430505752563477,12.074307441711426,18.533411026000977,2.004998207092285,22.467960357666016,13.16750431060791,10.859652519226074,25.612892150878906,6.582271099090576,24.277719497680664,,15.36793327331543,1.403670072555542,15.629745483398438,14.610128402709961,10.2099609375,9.057398796081543,14.061979293823242,14.971414566040039,2.8086345195770264,6.390734672546387,,26.64339828491211,15.412625312805176,82.21409606933594,0.8211011290550232,8.477422714233398,,9.881660461425781,21.395036697387695,6.8788676261901855,15.639189720153809,16.658540725708008,44.77584457397461,19.70598793029785,17.54952621459961,19.01873207092285,21.962587356567383,1.4414085149765015,19.90022087097168,,15.285266876220703,9.906183242797852,39.44636154174805,19.744653701782227,0.8130444884300232,20.941020965576172,,4.546080112457275,14.833502769470215,2.4527313709259033,,26.505523681640625,19.518014907836914,21.823726654052734,34.80020523071289,16.354215621948242,15.769847869873047,9.58298110961914,,2.058927059173584,6.054208278656006,3.8260886669158936,19.8112735748291,13.407068252563477,21.4216365814209,13.695138931274414,22.273523330688477,,2.244304656982422,7.4298858642578125,8.81493854522705,9.860344886779785,13.496271133422852,12.756274223327637,20.825225830078125,6.234850883483887,9.946255683898926,6.84323787689209,13.982034683227539,16.226274490356445,12.903350830078125,14.046546936035156,4.0806193351745605,6.910468101501465,,11.370927810668945,2.4673783779144287,14.125,8.715609550476074,8.193099021911621,8.485716819763184,14.901820182800293,
1999-01-14,0.30937811732292175,10.69938850402832,,5.905175685882568,8.543097496032715,7.463817119598389,6.354287624359131,614.3626098632812,19.62260627746582,9.609140396118164,11.25,17.519742965698242,6.579324245452881,19.472393035888672,21.33983039855957,15.317096710205078,10.016911506652832,19.43913459777832,7.823950290679932,21.42988395690918,12.03125,129.43887329101562,9.430505752563477,11.744585037231445,18.605531692504883,2.0012784004211426,22.181640625,13.237658500671387,10.521906852722168,25.408105850219727,6.4633097648620605,24.090633392333984,,15.448076248168945,1.3868352174758911,15.223017692565918,14.351836204528809,9.86106014251709,8.654848098754883,14.347332954406738,14.43459701538086,2.7880589962005615,6.373432636260986,,24.96946907043457,15.626433372497559,82.63983917236328,0.8224340677261353,8.602289199829102,,9.961837768554688,21.010684967041016,6.75259256362915,15.737860679626465,16.38634490966797,43.59913635253906,18.96169090270996,17.217411041259766,19.281169891357422,20.927703857421875,1.4332183599472046,19.996578216552734,,14.889567375183105,9.733145713806152,39.84359359741211,19.127639770507812,0.7564854025840759,21.206567764282227,,4.325824737548828,14.217499732971191,2.398982286453247,,26.03341293334961,19.218351364135742,21.5107479095459,33.8250732421875,15.940190315246582,15.735929489135742,9.125557899475098,,2.010349750518799,5.905333042144775,3.798563241958618,19.07297134399414,13.040842056274414,20.73698616027832,13.188897132873535,21.250072479248047,,2.308631181716919,6.903603553771973,8.560091972351074,9.654690742492676,13.093181610107422,12.528489112854004,20.374547958374023,6.208652019500732,9.762290000915527,6.701974391937256,13.913715362548828,16.13175392150879,12.863778114318848,13.577075004577637,4.056860446929932,6.819418430328369,,11.31201457977295,2.29797625541687,13.921875,8.507384300231934,8.14189338684082,8.393623352050781,14.743278503417969,
1999-01-15,0.30891069769859314,10.741680145263672,,6.059964656829834,8.960759162902832,7.607908248901367,6.463682174682617,635.6543579101562,19.9130802154541,10.13922119140625,11.1875,18.166309356689453,6.5430707931518555,21.171161651611328,21.459274291992188,15.822551727294922,10.18567943572998,19.686782836914062,8.14995002746582,21.571441650390625,12.25,131.02911376953125,9.29001235961914,12.02587604522705,18.461294174194336,2.004998207092285,22.552169799804688,13.798979759216309,10.530567169189453,25.715299606323242,6.493048667907715,24.714218139648438,,16.299631118774414,1.3763121366500854,15.436066627502441,14.385528564453125,10.301775932312012,8.654848098754883,14.723987579345703,14.330216407775879,2.767484188079834,6.604142665863037,,25.208602905273438,16.107521057128906,85.77937316894531,0.8850830793380737,8.700862884521484,,10.122188568115234,21.811399459838867,6.782659530639648,16.1160888671875,16.985179901123047,44.64008712768555,19.19207763671875,18.00399398803711,19.759719848632812,21.732622146606445,1.533953070640564,20.333873748779297,,15.197330474853516,10.111660957336426,39.72138214111328,19.80635643005371,0.8042077422142029,21.623889923095703,,4.457980632781982,14.697990417480469,2.3650331497192383,,26.46056365966797,20.347976684570312,22.72475242614746,34.76974105834961,16.019807815551758,15.600276947021484,9.651594161987305,,1.9954016208648682,6.2361650466918945,3.8398513793945312,19.442119598388672,13.320904731750488,21.086923599243164,13.402050971984863,21.519393920898438,,2.434903383255005,7.801380634307861,8.599306106567383,9.754737854003906,14.272614479064941,12.853896141052246,21.576366424560547,6.313439846038818,9.970783233642578,6.701974391937256,14.733511924743652,16.13175392150879,12.665870666503906,13.91508960723877,4.2944488525390625,6.88314962387085,,11.783345222473145,2.2832443714141846,14.875,8.923830032348633,8.193099021911621,8.433090209960938,15.02071762084961,
