Date,SPY,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
1999-01-04,76.27218627929688,5.923243999481201,,5.7108540534973145,11.184137344360352,14.976409912109375,12.263304710388184,14.118963241577148,,5.780120372772217,17.321340560913086,9.544550895690918
1999-01-05,77.14397430419922,6.06854772567749,,5.680253982543945,11.288519859313965,15.285602569580078,12.57685375213623,14.22542953491211,,5.849942684173584,17.592649459838867,9.705358505249023
1999-01-06,79.0038070678711,6.175385475158691,,5.867681980133057,11.64641284942627,15.614110946655273,12.948472023010254,14.39741325378418,,5.910656452178955,17.88481330871582,9.981005668640137
1999-01-07,78.61634826660156,6.1283769607543945,,5.840907573699951,11.825355529785156,15.47884464263916,12.907821655273438,14.233617782592773,,5.889405727386475,17.80133628845215,9.969521522521973
1999-01-08,79.19754028320312,6.33778715133667,,5.867681980133057,11.899917602539062,15.594785690307617,12.960082054138184,14.176289558410645,,5.922801494598389,18.020465850830078,9.981005668640137
1999-01-11,78.4419937133789,6.350605487823486,,5.75675630569458,11.72097110748291,15.449851989746094,13.087821960449219,13.889650344848633,,5.764941215515137,18.06220245361328,9.9293212890625
1999-01-12,77.02771759033203,6.18820858001709,,5.668780326843262,11.392903327941895,15.266278266906738,12.733625411987305,13.783181190490723,,5.767972946166992,17.989158630371094,9.670890808105469
1999-01-13,76.48530578613281,6.051453590393066,,5.584627628326416,11.243788719177246,14.879785537719727,12.727823257446289,13.807750701904297,,5.807440757751465,17.82221031188965,9.716839790344238
1999-01-14,75.14856719970703,5.948887348175049,,5.477523326873779,10.960453987121582,14.812145233154297,12.553627014160156,13.545694351196289,,5.71029806137085,17.67611312866211,9.49860954284668
1999-01-15,77.10523223876953,6.038631916046143,,5.561675071716309,11.273605346679688,15.063368797302246,12.925240516662598,13.693103790283203,,5.737616062164307,17.916114807128906,9.619211196899414
1999-01-19,77.60895538330078,5.927517890930176,,5.561675071716309,11.213963508605957,15.034379005432129,13.37233829498291,13.53749942779541,,5.931906700134277,18.427410125732422,9.613463401794434
1999-01-20,78.22886657714844,5.906147480010986,,5.515776634216309,11.295974731445312,14.966747283935547,13.49427604675293,13.578451156616211,,5.907622814178467,18.53175163269043,9.774270057678223
1999-01-21,76.15593719482422,5.880505084991455,,5.561675071716309,11.094661712646484,14.841136932373047,13.14588737487793,13.37370491027832,,5.886371612548828,17.88481330871582,9.68238353729248
1999-01-22,75.9815902709961,5.76511812210083,,5.531074523925781,11.020101547241211,14.55126667022705,12.91363525390625,13.308186531066895,,5.925835132598877,17.81178092956543,9.728325843811035
1999-01-25,76.75650024414062,5.880505084991455,,5.523427963256836,11.109573364257812,14.792821884155273,13.140083312988281,13.275429725646973,,5.704224586486816,17.957855224609375,9.705358505249023
1999-01-26,78.15135192871094,5.863411903381348,,5.469873905181885,11.117027282714844,14.792821884155273,13.668471336364746,13.586631774902344,,5.816547393798828,18.04133415222168,9.935064315795898
1999-01-27,77.24083709716797,5.816405773162842,,5.370420455932617,10.975363731384277,14.908774375915527,13.378146171569824,13.766810417175293,,5.728512287139893,17.86394691467285,9.923578262329102
1999-01-28,78.53884887695312,5.743751049041748,,5.339822292327881,11.139396667480469,14.928095817565918,13.848469734191895,14.012502670288086,,5.737616062164307,18.197851181030273,10.026949882507324
