start,end,days,mean_dispersion,mean_rho,mean_vol,mean_avg_name_vol,event
2006-10-11,2006-12-21,51,0.3713638211788208,0.2866133654128526,0.07112798302110453,0.11309696993990807,
2016-11-30,2017-04-12,92,0.34885940821329126,0.3335856097890549,0.07885345522420294,0.12156049887371459,
2017-06-20,2017-08-21,44,0.3109609008660254,0.3767096188289299,0.07273327883771662,0.1055289968951024,
2017-10-17,2018-02-01,74,0.38667789960002075,0.26636733601007184,0.060194416963248745,0.09810169187272985,Volmageddon
2018-08-03,2018-10-09,47,0.3339750905196264,0.3437506491381895,0.07911240907795247,0.11859636087937757,
2020-01-09,2020-01-24,11,0.316785425862905,0.38669965978646376,0.0682204293896682,0.09984358144637019,
2023-07-26,2023-08-24,22,0.3091954234180296,0.3657466697905187,0.10590832922893761,0.15329061641556413,
2024-07-05,2024-08-02,21,0.33130675472460736,0.27470702580715567,0.10243008766944033,0.1532255639170436,Yen carry unwind
2025-08-26,2025-11-12,56,0.3158197053260963,0.3244255309336515,0.09851355631189866,0.14374861653151855,
2026-01-12,2026-03-30,54,0.3436033147166969,0.22861855573826584,0.11514713241143781,0.17547873354255447,
2026-06-08,2026-09-15,69,0.4004312588411749,0.10456763145033154,0.13836822165455834,0.23118637433842934,
