sector,n_obs,n_names_min,n_names_max,rho_mean,rho_median,rho_std,rho_min,rho_max,own_share_mean,dispersion_mean,avg_name_vol_mean,portfolio_vol_mean,absorption_mean,identity_max_err
Energy,6904,13,17,0.5853914364394237,0.5880195593573829,0.1348797755936377,0.2408026538339531,0.8812214711307027,0.12551394943904748,0.21907607907289237,0.3453910043469156,0.27516466539273887,0.6304284208816325,8.881784197001252e-16
Financials,6904,17,19,0.5725395096932016,0.5742981282706338,0.12908880746471224,0.2405327753895581,0.9001113381443291,0.09888961799391095,0.23169676574351486,0.3084701354396111,0.2413508020470767,0.6065436512775028,7.771561172376096e-16
Industrials,6904,19,20,0.4633186983044751,0.47709518344730373,0.14918861148828275,0.14235987529611363,0.8522532340773222,0.11776731904252018,0.3063902784010191,0.27318098305848154,0.19199041594754127,0.5097942488250972,6.661338147750939e-16
Technology,6904,17,20,0.4422285800307917,0.4258131394284886,0.13865865987719367,0.1389738990485885,0.830388479127793,0.1291923127347047,0.31824257487933333,0.39615651938119184,0.27680660166739274,0.4934613691206292,6.661338147750939e-16
Health Care,6904,19,20,0.3090617766584347,0.27770480288190225,0.12568389097162264,0.10553999511203978,0.7351379469809787,0.18491526433468777,0.41656110011057407,0.29330246804310606,0.17233951756688518,0.3834676110068704,5.551115123125783e-16
Consumer Staples,6904,20,20,0.3087687686868874,0.2924423351816386,0.12023616108549628,0.07568835175478118,0.6999979980472363,0.17676587959330406,0.4188811517111119,0.2313461698459377,0.13553004147897357,0.3869860172479274,4.440892098500626e-16
