date,n,var_index,vol_index,own_term,cross_term_base,rho_implied,rho_weighted_actual,rho_simple_actual,own_share,cross_share,avg_constituent_vol,dispersion_ratio,h_ratio,comovement_C,absorption,residual,n_names
1999-04-06,20,0.020538204133898588,0.14331156315489196,0.005490776295431968,0.10109032939307853,0.14885130881269923,0.14885130881269926,0.15387602656840588,0.26734451851948277,0.7326554814805173,0.32646761813158515,0.5610236507526171,0.051517351597750186,0.1927002351985603,0.21750818487373208,0.0,20
1999-04-07,20,0.020530957154888205,0.14328627692451293,0.005484738488433123,0.10099875052037913,0.14897430501795283,0.14897430501795283,0.15352898795333517,0.26714480221528614,0.7328551977847139,0.3263180795003738,0.5608999748224224,0.05150787731963988,0.19280883211094937,0.21611052577011206,0.0,20
1999-04-08,20,0.020275833288432632,0.1423932347003629,0.0054748366677761845,0.10082779000622805,0.1467948134114831,0.1467948134114832,0.1516958117326003,0.2700178379795409,0.7299821620204591,0.32604083589943794,0.5632656433739429,0.051502364890434346,0.19073689825757603,0.21446570350286556,0.0,20
1999-04-09,20,0.019901893024967317,0.14107406928619914,0.005449237977546906,0.10028645456442294,0.14411373011632572,0.14411373011632567,0.14909006835267768,0.2738050079311918,0.7261949920688082,0.32517025162515995,0.5661532117986541,0.05153640976422348,0.18822303563262355,0.21247591315792458,0.0,20
1999-04-12,20,0.01981147349072693,0.14075323616431323,0.005355137823911118,0.0985151428666008,0.1467422697279251,0.1467422697279251,0.1501791625334958,0.2703048729019411,0.7296951270980587,0.3222891259265691,0.5632702910479745,0.05155601571798088,0.1907328386813209,0.21527606624249485,0.0,20
1999-04-13,20,0.018916787261711764,0.13753831197783317,0.005327794122402613,0.09779605219822128,0.13895236907688088,0.1389523690768808,0.14209863453885604,0.28164370877005385,0.7183562912299462,0.32112901818525197,0.5717038816514225,0.05166403613222385,0.18343756499245867,0.20615692427794788,0.0,20
1999-04-14,20,0.018777425944887953,0.13703074817313066,0.005446249906881601,0.09992387753923855,0.13341331788061775,0.1334133178806178,0.137047315666602,0.29004241171641054,0.7099575882835896,0.32460765155202387,0.5778573070660684,0.05168684938401048,0.17820445319751163,0.20102859574159676,0.0,20
1999-04-15,20,0.01859443187037002,0.13636140168819774,0.005416701697086704,0.0992801131968225,0.13273282784396617,0.1327328278439662,0.13543693870902826,0.29130772775683167,0.7086922722431682,0.3235688719483214,0.5785707046938167,0.0517370246895813,0.17760265094226627,0.19992687661257863,0.0,20
1999-04-16,20,0.018241159356027242,0.13505983620613213,0.005456394809523383,0.09973994407678216,0.12818098771603328,0.12818098771603323,0.13284436273089112,0.2991254395088918,0.7008745604911082,0.32433985090689293,0.5835854403074778,0.051868675918660664,0.17340108552391717,0.19575460828441837,0.0,20
1999-04-19,20,0.01770629951501525,0.1330650198775593,0.005538385951294633,0.10124783072447423,0.1201794989250996,0.12017949892509965,0.12347911905940709,0.3127918369729364,0.6872081630270636,0.32678160394332,0.5928013747657614,0.051864239821424095,0.16581072039265377,0.18757160182379384,0.0,20
1999-04-20,20,0.017752569097067832,0.1332387672453773,0.005628577924193465,0.10289988632734222,0.11782317362631353,0.11782317362631353,0.11930346839022817,0.3170570914788401,0.68294290852116,0.3294365860852976,0.5955556459934928,0.05186268840170951,0.16357523548774103,0.18219746112566035,0.0,20
1999-04-21,20,0.019528253025262357,0.13974352587959973,0.00576268450836139,0.10569110260042851,0.1302433996638536,0.13024339966385368,0.1331355719262795,0.29509472767003797,0.7049052723299619,0.3338469516242284,0.5814144020194849,0.05170469894160206,0.17521390283670538,0.1970075705068063,0.0,20
1999-04-22,20,0.01896272773138545,0.13770522042168717,0.005777725343010596,0.10602409407136705,0.12435854796834908,0.12435854796834908,0.12874091125745923,0.30468851448242906,0.6953114855175708,0.33436779063536853,0.5881624238984906,0.05167827655466208,0.1696101890891666,0.19125093537248306,0.0,20
1999-04-23,20,0.019010102573141216,0.13787712853530573,0.005721642446513822,0.10493416273236296,0.12663616672217534,0.12663616672217534,0.13141567951732042,0.30097904124924363,0.6990209587507564,0.3326496733485196,0.5855185211895555,0.05170666317293251,0.17179489627689298,0.19418589753954102,0.0,20
1999-04-26,20,0.01841550725700411,0.1357037481317451,0.005695998573638102,0.10445957660321957,0.12176488836136042,0.1217648883613605,0.12552443217541068,0.3093044624916156,0.6906955375083844,0.33189693456984154,0.5911268409043147,0.05170867261591641,0.16717726022888563,0.18853225567813198,0.0,20
1999-04-27,20,0.01835140746175788,0.13546736677797305,0.0057099854280487534,0.10508165382896374,0.12030094286758132,0.12030094286758128,0.12417113280006326,0.3111470027542942,0.6888529972457058,0.3328537805959435,0.5930123835894805,0.05153805346992682,0.16563891991151614,0.18696866045191357,0.0,20
1999-04-28,20,0.0181120534471691,0.13458102929896584,0.0057255828575880525,0.10534267115943521,0.11758265148635003,0.11758265148635004,0.1213798932607503,0.31612002881335116,0.6838799711866488,0.3332690414920403,0.5961790249209807,0.05155012931697388,0.1630713799137699,0.18748264744299972,0.0,20
1999-04-29,20,0.017068403897403987,0.1306461017306065,0.005692225505665009,0.10461324963007851,0.10874510095008165,0.10874510095008161,0.11252221301965332,0.3334948914895766,0.6665051085104234,0.33212268085113295,0.6066330026127729,0.05160419733163811,0.15473759463344283,0.17900758593545016,0.0,20
1999-04-30,20,0.017087220004767478,0.13071809363958564,0.005541369423799897,0.10207317281792223,0.11311346813489406,0.11311346813489397,0.11558551008598705,0.32429906223796545,0.6757009377620345,0.3280465549913947,0.6015257845246549,0.051492756539845315,0.15878170039869172,0.18176747130607085,0.0,20
1999-05-03,20,0.018339374859459332,0.13542294805334631,0.005622108293689285,0.10366142163902684,0.1226808041477043,0.12268080414770426,0.1257159219959506,0.30655942946656317,0.6934405705334368,0.3305805952150188,0.5903481631604437,0.051445156439865324,0.1678146274260225,0.18781669429402656,0.0,20
1999-05-04,20,0.019443514967199257,0.13944000490246425,0.005687686228478138,0.10481211904954196,0.13124273093094413,0.1312427309309441,0.13559290805030993,0.29252356058424256,0.7074764394157576,0.3324151098822376,0.5805244684820052,0.05147236426496668,0.17595972154230424,0.1966898409607249,0.0,20
1999-05-05,20,0.01927391898605475,0.13883054053793334,0.005684560881345621,0.10484370072303402,0.1296153990272452,0.12961539902724517,0.1343562943722224,0.29493539354702947,0.7050646064529705,0.3324579095229645,0.5824116781064472,0.05143083586795842,0.17438000658187341,0.1959790021413719,0.0,20
1999-05-06,20,0.019444470913634996,0.1394434326658484,0.005735138749586821,0.10573441111355543,0.12965818809285073,0.12965818809285073,0.13381717216573158,0.29494959132907983,0.7050504086709203,0.333870558544988,0.5823428298872935,0.05145027280210775,0.17443751174655428,0.19606080760354216,0.0,20
1999-05-07,20,0.019431454206343016,0.13939675106093047,0.005776287103531089,0.10645610845475656,0.12827039519874356,0.12827039519874356,0.13287793381016474,0.297264787400499,0.7027352125995011,0.3350110379648522,0.583904005349354,0.051467199597741695,0.1731358767643103,0.19530773747133812,0.0,20
1999-05-10,20,0.019396603232841658,0.13927168855457184,0.005823061078222464,0.10734839358804131,0.1264438311644311,0.12644383116443114,0.13106391914260643,0.300210351695139,0.6997896483048609,0.3364096530515493,0.5860056710880686,0.05145344376277872,0.17139130437124048,0.19415869235932046,0.0,20
1999-05-11,20,0.019790539051376344,0.140678850760789,0.005859320706761085,0.10827785678433223,0.12866174819440185,0.1286617481944019,0.13339311763628123,0.2960667565219046,0.7039332434780954,0.33784194158081277,0.583595659844566,0.05133577713728129,0.1733925745002823,0.1963150386059462,0.0,20
1999-05-12,20,0.019783348944856113,0.14065329340209604,0.005712664936071479,0.10579141685894486,0.13300402269444536,0.13300402269444536,0.13679051972369202,0.2887612684786028,0.711238731521397,0.3339222690912008,0.5787843267090378,0.05123278757250666,0.17742264342595868,0.19822937240520355,0.0,20
1999-05-13,20,0.02014740286299771,0.1419415473460738,0.005825005885663573,0.1080812269141723,0.13251512206377528,0.13251512206377528,0.13587042738628827,0.28911944260377376,0.7108805573962261,0.3374999745182744,0.5794324205544845,0.05113860534655454,0.17687708888065992,0.19506753860432904,0.0,20
1999-05-14,20,0.020095483326568752,0.1417585388136064,0.005831284096952298,0.10821193875864747,0.13181724117734253,0.13181724117734256,0.13511171285493512,0.29017884278715544,0.7098211572128446,0.3377028617817737,0.5802270135773623,0.051132228210840756,0.17620936013018,0.19297900872943827,0.0,20
1999-05-17,20,0.0195756689986687,0.13991307658210042,0.005757312879517001,0.10697164450819234,0.1291777478291776,0.12917774782917762,0.13162144610990045,0.2941055490828203,0.7058944509171797,0.3357513326670638,0.5832836299689677,0.051072173582834106,0.17365253305184036,0.188279347004966,0.0,20
1999-05-18,20,0.01945324433634491,0.13947488783413634,0.005763984364736385,0.1071947514605229,0.12770457307930724,0.12770457307930716,0.12984007351476753,0.2962993866255723,0.7037006133744277,0.3360933439169233,0.5850114548278225,0.05102734483194766,0.17221549262412042,0.18694689906041456,0.0,20
1999-05-19,20,0.019493314136190713,0.13961845915275928,0.005780014512482945,0.10744704941942695,0.12762844301267834,0.1276284430126783,0.12990539828508674,0.29651266439870994,0.70348733560129,0.33649229401564296,0.5850768007594591,0.05104799428481876,0.1721612612680056,0.18670803760386284,0.0,20
1999-05-20,20,0.019521920189952913,0.13972086526339905,0.0057752560902668785,0.10743290248240546,0.12795581039,0.12795581038999998,0.13040669425025544,0.2958344278673546,0.7041655721326454,0.3364642010269032,0.5847377972546115,0.051014486615463636,0.17244269702895218,0.18742189178104188,0.0,20
1999-05-21,20,0.018784704815407793,0.13705730485971113,0.0057397107660851305,0.10672994697937661,0.12222430928259845,0.12222430928259846,0.12512060731594832,0.30555235349651294,0.694447646503487,0.33536496201222593,0.5913189498468996,0.05103341542191839,0.16702020075424096,0.1832382249535915,0.0,20
1999-05-24,20,0.018751097419154778,0.13693464652583281,0.0057617337942709335,0.10720124552310356,0.12116802898604785,0.12116802898604787,0.12298905258116619,0.30727448455284323,0.6927255154471568,0.33609965682424386,0.5925772497963606,0.051005504892740895,0.1659932973834971,0.181061105709117,0.0,20
1999-05-25,20,0.0187049071932229,0.1367658846102452,0.005763846268209568,0.10726143843581694,0.1206497051851211,0.12064970518512108,0.12242541742806444,0.3081462104392534,0.6918537895607466,0.33619233290488126,0.5931915417924171,0.05099607829613573,0.16549312166923072,0.18035683404549938,0.0,20
1999-05-26,20,0.01849947664773672,0.13601278119256557,0.005835026311143786,0.10860418882744766,0.11661106697011886,0.11661106697011885,0.1183514353013317,0.3154157505238215,0.6845842494761786,0.3382886565325409,0.5979386876678139,0.05098799658908257,0.16165329887427973,0.1770632751133945,0.0,20
1999-05-27,20,0.01887821185778667,0.1373980052904214,0.005907184056887648,0.10992797579549066,0.11799569406272199,0.11799569406272195,0.11977971458087201,0.3129101474963647,0.6870898525036354,0.34034564761779795,0.5962986268456212,0.05099646829525537,0.1629747986867311,0.17907051765212573,0.0,20
1999-05-28,20,0.018982789657996053,0.1377780449055511,0.0059001636948419305,0.10980243299520111,0.11914695882673107,0.11914695882673113,0.12044819594734622,0.3108164711900827,0.6891835288099173,0.3401508440237111,0.5949501601238216,0.05099422021312058,0.1640653727837177,0.17910127100022746,0.0,20
1999-06-01,20,0.01925471645499875,0.13876136513813472,0.0058401773110766005,0.1085906182856811,0.12353313164338992,0.12353313164338993,0.12461190045049064,0.3033115197892422,0.6966884802107578,0.3382762119877153,0.5897986313528487,0.05103676226858355,0.16826516283999615,0.18383816148126553,0.0,20
1999-06-02,20,0.019260177096227404,0.1387810401179765,0.005872216385879127,0.10924024631535284,0.12255520434932146,0.12255520434932143,0.12391833771531684,0.30488901304180377,0.6951109869581963,0.33928227584303894,0.5909569995274957,0.051012863838385075,0.16731617623554915,0.18359193026894008,0.0,20
1999-06-03,20,0.017733910406164118,0.1331687290851877,0.005762124358119302,0.10720046582610829,0.1116766233783392,0.11167662337833924,0.11399437563589176,0.32492125121577525,0.6750787487842248,0.3360990779282615,0.6037813316655042,0.051009138058201495,0.1569892331367612,0.17598310824306623,0.0,20
1999-06-04,20,0.01715053752127313,0.13096006078676478,0.005732295373455833,0.10666508679562477,0.10704760564902717,0.10704760564902718,0.10989093772234501,0.3342341525066271,0.6657658474933729,0.33525718809457405,0.6093743387544558,0.05100025697068886,0.15258840722351869,0.17294587277084106,0.0,20
1999-06-07,20,0.01689177583501386,0.1299683647470178,0.005737923758256675,0.10676799401445763,0.10446812436362553,0.10446812436362553,0.10693062488696274,0.3396874203340366,0.6603125796659635,0.3354190182036706,0.6125193930771706,0.05100108395940996,0.15014122074128414,0.16996930624278958,0.0,20
1999-06-08,20,0.01716663868549199,0.1310215199327652,0.005740479581682426,0.10673214245844546,0.10705452772353151,0.10705452772353154,0.10910178532564078,0.3343974138940704,0.6656025861059296,0.3353693814887219,0.6093217593354708,0.05103890598046467,0.1526294877287318,0.17242055866767403,0.0,20
1999-06-09,20,0.017379708796752175,0.13183212353881044,0.005782387826539939,0.10744850310821223,0.10793376021751074,0.10793376021751076,0.1102052589033012,0.3327091319056232,0.6672908680943769,0.33649798058049646,0.6082231361050507,0.051067228905511,0.15348911108336158,0.17311183636526672,0.0,20
1999-06-10,20,0.016936269539870576,0.1301394234652612,0.0057240362315408,0.1062099427048331,0.10556670141033381,0.10556670141033382,0.10842460259983197,0.33797503151833647,0.6620249684816636,0.33456535824315986,0.6110194308560879,0.05113761063380483,0.15130588317152185,0.17285366432931554,0.0,20
1999-06-11,20,0.017044161999626793,0.13055329179927558,0.005712251825219606,0.10590115521515833,0.1070045945333104,0.1070045945333104,0.10981659311613556,0.33514418751386454,0.6648558124861355,0.3340859276299706,0.6092224155461143,0.05117890383144659,0.15270712051161375,0.1745012284641701,0.0,20
