date,rho_63,rho_21,rho_126
2000-02-01,0.570903101799794,0.850155345074897,0.5766248471662337
2000-02-02,0.5708179076193236,0.9093057154443583,0.5738511022263335
2000-02-03,0.5827034102943965,0.8603438690245393,0.5738879736037854
2000-02-04,0.5816183381797918,0.892240642098214,0.5719758269706698
2000-02-07,0.5764466046551014,0.9357615988307597,0.5708906460237659
2000-02-08,0.5841628078470201,0.6055256932672461,0.5730051987855502
2000-02-09,0.6085930523902836,0.7870606927892864,0.5899967928048641
2000-02-10,0.5867334545892207,0.7316814193370567,0.5814637977751216
2000-02-11,0.5967158674542496,0.751963760259097,0.579858145167758
2000-02-14,0.6046638779620245,0.7425131768092308,0.5795259836136716
2000-02-15,0.6023821362274145,0.705095243503104,0.5808073635992949
2000-02-16,0.6147998467234372,0.7193170073613365,0.5820091848966346
2000-02-17,0.6099044654018899,0.6795940401277017,0.5765379326194338
2000-02-18,0.6157116127040172,0.6409776537005636,0.575975411436893
2000-02-22,0.6117177724924738,0.6363552563342048,0.5696476388678737
2000-02-23,0.6090719037302557,0.5946258476102478,0.5666869951404898
2000-02-24,0.617711749151947,0.6105433687824116,0.5777958030428838
2000-02-25,0.6112504561621508,0.6606400223860235,0.5723893597874752
2000-02-28,0.6168079432216418,0.6918273442794266,0.572178615842818
2000-02-29,0.6183550667603736,0.6028504887076805,0.5660677613203893
2000-03-01,0.6197551411735237,0.5219410625372652,0.5629869291904644
2000-03-02,0.5974592059397247,0.49170603702173454,0.5425862120419352
2000-03-03,0.6089660755721259,0.5314901717181836,0.543583264219563
2000-03-06,0.5991639820295386,0.5006834242352292,0.5322092285067608
2000-03-07,0.5769893027147894,0.4488243227698399,0.5203336251547824
2000-03-08,0.5633723867097269,0.4159617356800225,0.5134434507512096
2000-03-09,0.5958353823239451,0.4985419461746418,0.5322818708538227
2000-03-10,0.597455133619803,0.45128211143880964,0.5320756256605353
2000-03-13,0.6064865585002707,0.48654637298403525,0.5331726372742246
2000-03-14,0.6191922212917578,0.4674019119395476,0.5365120715436519
2000-03-15,0.572583754139504,0.37953113401280586,0.5081060345403112
2000-03-16,0.5888980786071779,0.4531720300499763,0.5222584257059664
2000-03-17,0.5944514413165174,0.438618367030665,0.5200526851683768
2000-03-20,0.5950350806045526,0.45001999210296173,0.5197199371177565
2000-03-21,0.6051969454241602,0.4501543539990538,0.5160855081213782
2000-03-22,0.5970535479265636,0.44064592584842593,0.514589577307211
2000-03-23,0.6028695366939003,0.46528208181140385,0.5138810626596384
2000-03-24,0.597895317154884,0.4155891196407661,0.5152284295057068
2000-03-27,0.6016706410685342,0.4466690833243951,0.5179588716763455
2000-03-28,0.5980575899672671,0.4383550640670987,0.5155228265189596
2000-03-29,0.5812628750072293,0.40403318136252686,0.5042544724675051
2000-03-30,0.582941030782075,0.445116440510249,0.505046939139972
2000-03-31,0.5921622966235828,0.4640846139134732,0.512092560081546
2000-04-03,0.5695932949818577,0.3884309720740404,0.48999288495653986
2000-04-04,0.533224583547825,0.3827020213268473,0.48716098925150025
2000-04-05,0.53984290612381,0.4149124426093526,0.48832647714206556
2000-04-06,0.544793005623944,0.4157005432475266,0.4871978318314427
2000-04-07,0.4171329826622473,0.3281319608481193,0.4805198749340963
2000-04-10,0.42847589247282697,0.3009200667253937,0.46951614795709457
2000-04-11,0.4219189671539015,0.2792742880532421,0.4621265699376127
2000-04-12,0.41899831308462837,0.2976976481642924,0.44950607273258997
2000-04-13,0.4184538725697731,0.32891505689427597,0.45170384984408296
2000-04-14,0.47285108607295107,0.3881479639510247,0.4812156532499898
2000-04-17,0.49886464193917435,0.4738418393162104,0.49682487278305315
2000-04-18,0.4959685075440527,0.47980527467991774,0.5012246988309558
2000-04-19,0.48196638346191945,0.45118940901549043,0.5027225040943152
2000-04-20,0.48610204653843603,0.4646771839228342,0.5034739590717648
2000-04-24,0.46658332631592275,0.43434934931521335,0.5012915199402533
2000-04-25,0.5001200931826447,0.5362592169755208,0.5218755355710428
2000-04-26,0.5090107561450006,0.5436466838908196,0.5202807567462694
2000-04-27,0.5019683401293678,0.5127111642079679,0.5127591093288328
2000-04-28,0.47646642398210093,0.5163026448819636,0.49991655013097974
2000-05-01,0.464275886304181,0.5085532104755346,0.4993667631420721
2000-05-02,0.4512114592913619,0.4691016113065496,0.48096947105647864
2000-05-03,0.44874162116309235,0.5172619427699757,0.4777308431650252
2000-05-04,0.4474545626658843,0.5422757977704604,0.479388346472104
2000-05-05,0.4456972645681819,0.540416985139961,0.47691534115963014
2000-05-08,0.43995566936531993,0.5253310251273984,0.46969235618894434
2000-05-09,0.4355753745960633,0.5537621396389655,0.47024366956107916
2000-05-10,0.4245258139176232,0.5852947492606023,0.4696996456604706
2000-05-11,0.4460884317528987,0.6269435873319954,0.47620809607659625
2000-05-12,0.43878959433980574,0.6384361118103904,0.47683516016564914
