lag_days,corr
-100,-0.01766376862969723
-99,-0.018820052086013034
-98,-0.01915941765501702
-97,-0.01917794313722553
-96,-0.018831571769411484
-95,-0.018706971947751703
-94,-0.016881796222707485
-93,-0.014417164406819845
-92,-0.01103377932547779
-91,-0.006822776613131897
-90,-0.0031490518513412327
-89,0.00011506748633510876
-88,0.002834187409616681
-87,0.005645185112207485
-86,0.00825241620855343
-85,0.010755927536502967
-84,0.013237366093612262
-83,0.01550274028994268
-82,0.016542793358676415
-81,0.01755888732162059
-80,0.018278501850827918
-79,0.018266256285680443
-78,0.017588271825685828
-77,0.01750727546629593
-76,0.0173562113077353
-75,0.01681690698077804
-74,0.016492694355234254
-73,0.016967455631062413
-72,0.01840350697963972
-71,0.020300368343207132
-70,0.021216373975893543
-69,0.02199069222352554
-68,0.023084982926799395
-67,0.02400257491713993
-66,0.024957676049143954
-65,0.025611684220079863
-64,0.02615039442277549
-63,0.026644394819401434
-62,0.02687084601765716
-61,0.02678019777151262
-60,0.025649293100704955
-59,0.024345926046702274
-58,0.02334018689280311
-57,0.021986063726380827
-56,0.020756957389146173
-55,0.019397649778572765
-54,0.01780802265957864
-53,0.01602560015683948
-52,0.014193878885695009
-51,0.011630677025643178
-50,0.009958815168023818
-49,0.007847712443165386
-48,0.005315407792454802
-47,0.00284620453450043
-46,0.00041588905732087403
-45,-0.002296626025465761
-44,-0.004599562124147191
-43,-0.0072292700803230645
-42,-0.010829038711837487
-41,-0.014964183205709643
-40,-0.018699499320343028
-39,-0.02308375254294494
-38,-0.027000990777871332
-37,-0.030535303563284932
-36,-0.03424725930993313
-35,-0.03809520795601444
-34,-0.04241839466545932
-33,-0.04706294003756201
-32,-0.051360533780148994
-31,-0.05678411955886937
-30,-0.06258746971367196
-29,-0.0685823172212334
-28,-0.07459032748968762
-27,-0.08040437532708102
-26,-0.08618217164049274
-25,-0.09190910050998341
-24,-0.09827489659605221
-23,-0.10485946607911208
-22,-0.11215580461813897
-21,-0.11929693457229537
-20,-0.12685023274064164
-19,-0.133577341543867
-18,-0.14066931894514156
-17,-0.14795447359922784
-16,-0.15405117114016348
-15,-0.16015329865736083
-14,-0.1661322823520994
-13,-0.1725199102413781
-12,-0.17981445244144523
-11,-0.1873891426869046
-10,-0.19580084929024774
-9,-0.2049424071640727
-8,-0.21486755552589373
-7,-0.22523589534423386
-6,-0.23610843085639185
-5,-0.24762528936165648
-4,-0.2600233711835863
-3,-0.27322929428789594
-2,-0.2874584845799299
-1,-0.30354910587568995
0,-0.32132441434465003
1,-0.3348171177578052
2,-0.3472021935316544
3,-0.3573463017537991
4,-0.36582461968337404
5,-0.37244920482501365
6,-0.37735167187749263
7,-0.3819322477489219
8,-0.3860871208789986
9,-0.3899353122373602
10,-0.394284677047224
11,-0.3976585592939279
12,-0.3998710569472533
13,-0.40192625051452996
14,-0.4035733623920482
15,-0.4047905648407087
16,-0.40536872644551797
17,-0.40602321526887253
18,-0.40717696057021535
19,-0.40795946459673965
20,-0.4092859387238525
21,-0.40920663313326
22,-0.40869400578990295
23,-0.40819338321769083
24,-0.40746902186760664
25,-0.40685734855896993
26,-0.4064808421793922
27,-0.40621842484880094
28,-0.40606793583178197
29,-0.4063382889449803
30,-0.4061246676311774
31,-0.4061869565510882
32,-0.40574429501220155
33,-0.4053491665780547
34,-0.40611204911426496
35,-0.40584159465610814
36,-0.405816096397389
37,-0.40522159294873306
38,-0.4050961950256564
39,-0.40454049093590244
40,-0.40333931327544753
41,-0.4022681146844816
42,-0.4011004527431814
43,-0.39856480528422283
44,-0.39524955380653043
45,-0.39206719163526177
46,-0.38848340186213914
47,-0.3850475542080024
48,-0.3818682846832551
49,-0.3791183480086421
50,-0.37587212647208285
51,-0.37262464081754704
52,-0.368793968845085
53,-0.36526620356239964
54,-0.360727267310073
55,-0.35563680270179704
56,-0.35020882301724515
57,-0.344802071921848
58,-0.33783323129862985
59,-0.3304921893675105
60,-0.3216079117619893
61,-0.3116042167028901
62,-0.3006222618081777
63,-0.2873265716091638
64,-0.27618589673612404
65,-0.26527885569238113
66,-0.255664395855754
67,-0.24761046017529603
68,-0.240675824439206
69,-0.23446241517353963
70,-0.22914530983505477
71,-0.2229378601555072
72,-0.21782950857972685
73,-0.213078363557602
74,-0.20904384652689212
75,-0.20586258344626468
76,-0.20169421359572612
77,-0.1976096315857769
78,-0.1934693896142505
79,-0.18889820688970904
80,-0.18433389556033214
81,-0.17958692790121517
82,-0.1749090444691905
83,-0.1695976729293592
84,-0.16421045067619813
85,-0.15881105060673775
86,-0.15364821933332382
87,-0.14867576931079632
88,-0.14351264619577478
89,-0.13825241006439262
90,-0.13255073838326226
91,-0.12786290595022848
92,-0.12366545380540712
93,-0.12025623964902309
94,-0.11622384434160782
95,-0.11260447270488075
96,-0.10883485456983748
97,-0.10523473671286525
98,-0.10216084418724701
99,-0.09873787707356643
100,-0.0956047788278585
