,XLK,XLF,XLE,XLV,XLY,XLP,XLI,XLB,XLU,XLRE,XLC
2000-02-01,0.2770750030622298,0.12012104108573676,0.031604271902567885,0.050100830643284786,0.1259464277385136,0.21962471949892842,0.0883027994639355,0.018863900344526317,0.0683610062602769,0.0,0.0
2000-03-02,0.2867354300446602,0.11823171417482668,0.04039676440302015,0.049097495504549844,0.16689838480934324,0.19691589061090728,0.04546026327421109,0.01569312847158332,0.08057092870689815,0.0,0.0
2000-03-31,0.2993954836160819,0.1264302337788726,0.04766705492081161,0.06542956676624535,0.13883951029585215,0.17802064146130922,0.06462540553097125,0.0,0.07959210362985586,0.0,0.0
2000-05-02,0.3379208769504316,0.11751525038637886,0.04213472636513091,0.051772583897854926,0.13190474725168477,0.16978869721098286,0.09001863623129784,0.0,0.05894448170623812,0.0,0.0
2000-06-01,0.34096181920265406,0.11955568126763587,0.05349810585124748,0.0484642047690564,0.12826712717841923,0.1668748736887252,0.09027425754964678,0.0,0.052103930492615,0.0,0.0
2000-06-30,0.3531850803087611,0.12575208525196604,0.05513807420562786,0.03705637570113082,0.13161772133901392,0.15724243242148228,0.07496644537606816,0.0,0.06504178539594961,0.0,0.0
2000-08-01,0.35920506716764683,0.13036095010151325,0.06709607922426,0.04160165474747299,0.12339575933545838,0.1549277064972058,0.07361496481098045,0.0,0.04979781811546219,0.0,0.0
2000-08-30,0.36062406714080586,0.1261642841243684,0.07159075727215083,0.04602756230345178,0.11682999309118883,0.15977783491496905,0.0733565250703731,0.0,0.04562897608269213,0.0,0.0
2000-09-29,0.35845114686529717,0.13453744240317245,0.06908498306523184,0.03500251390814532,0.09879493583034205,0.1651622075645965,0.08805500613783061,0.0,0.05091176422538401,0.0,0.0
2000-10-30,0.35458459757495553,0.12775054619163334,0.06927930929988137,0.04329470158656275,0.09893094099955078,0.15760136382757486,0.08685443911318305,0.0,0.06170410140665824,0.0,0.0
2000-11-29,0.35742900962606083,0.1401373242145794,0.07828335438589697,0.04193721815388505,0.08271461335706685,0.16154783175600748,0.0861370084323875,0.0,0.05181364007411592,0.0,0.0
