,count,mean,std,min,25%,50%,75%,max
vol_index,6695.0,0.16816888925613035,0.09517991739895469,0.05149173719466063,0.11075026243074804,0.1388302253705209,0.20241243688066124,0.7429228175140622
rho_implied,6695.0,0.6028750139535484,0.18235062080713293,0.029798474272451168,0.4921871344748228,0.6370959412876623,0.7333216595406777,0.9710294704844535
own_share,6695.0,0.27146793219377274,0.12827019433195697,0.13812758427800756,0.19351045079075913,0.22985890980257714,0.2919998166852438,0.9227885872516312
dispersion_ratio,6695.0,0.18349309006329592,0.08735719461738184,0.012080277689763497,0.12015639944437573,0.16757109269999126,0.23832493194286064,0.46653640064878144
absorption,6695.0,0.6296124951079983,0.13764831491805515,0.22636340206803446,0.5245584145761512,0.6503259719267317,0.7313519484699564,0.9308716601025933
n_names,6695.0,9.701120238984316,0.8997345156858246,9.0,9.0,9.0,11.0,11.0
