,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31,2026-06-30,2026-07-31,2026-08-31,2026-09-30
Energy,0.8412698412698413,0.6731726860890754,0.491397590521271,0.2002970107711954,0.5224654520824985,0.9036244374250574,0.9776463107456982,0.9481923001889733,0.983064564904818,0.9626547904543694,0.9497283723206832,0.7898315715097705,0.7515587427081241,0.9281145289326025,0.9969109680553981,0.9812115767624383,0.9245381372805255,0.8808630207125946,0.8446789178538272,0.9304837267926814,0.9653117908239205,0.7895986264522405,0.5436651296735314,0.20796906089378062,0.08268419195740719,0.2282660231299426,0.4488926883077333,0.6050840118305869,0.6083821817537569,0.8002618618644193,0.8173672937746937,0.751572247657336,0.5549654688501316,0.23962249318635362,0.058265652737533306,0.07628996215549877,0.09937221811024938,0.1961679242789483,0.19034626193177154,0.46634051442763613,0.35879077400966247,0.45562062933617525,0.32128029233532646,0.41610119919846,0.10344594009677116,0.1695380947444326,0.2644918140331791,0.4913773267696174,0.6354245644082435,0.722964908259839,0.8912947515321425,0.9086481309336835,0.9140013513316002,0.8912045119373357,0.8857006476605669,0.9570528865320741,0.9781214024955942,0.9977105725356838,0.9926695074942058,0.9765747752767956,0.9611241516035747,0.9553688950612349,0.9975928296098847,0.9963502297078382,0.979720716674174,0.9158639094636342,0.9272530591468028,0.9673374942625094,0.9776199662891213,0.9646828071033139,0.9145215530957455,0.8219750162095981,0.7967492501492671,0.7529763700768166,0.784080162150865,0.9004225794019285,0.9099122273646328,0.8979919548047632,0.7617808430003509,0.8003629932132139,0.8730595377353347,0.8966334771278003,0.881437060422497,0.8729246120860447,0.8026664116452417,0.6753999443135359,0.530730215943037,0.567312183710619,0.6384700820508149,0.6696217854755145,0.6684453905825762,0.6312221292449354,0.7103101258030055,0.7667601740875243,0.7904754464797347,0.7367642651792117,0.7381466095102296,0.7539181135384703,0.7120038959925817,0.6207252171435349,0.6145362181850655,0.814588359255759,0.9252547263757653,0.9990601421882611,0.9979532323390651,0.9952989251423201,0.9795869419878883,0.9672903786428416,0.9394971538128001,0.931526878537127,0.9241135609141662,0.9115877492008184,0.9158159975107627,0.8843645640040864,0.7974432685749209,0.6296563296340314,0.6695189886547345,0.6947012993596787,0.6168919073548105,0.6141322041376319,0.5844071932858637,0.6719847634987026,0.7742242413921084,0.9245696745863436,0.950750300525132,0.8587615678002224,0.738930070822719,0.5881640680791216,0.43087213626377247,0.32573823964709014,0.2802784471808507,0.2890462081061664,0.32889693709791795,0.4028225174655836,0.5221521739008311,0.5727693394456977,0.7111560547949723,0.9405861619065223,0.9716827120549332,0.9593427899746991,0.9157929464660233,0.8433369277299766,0.6855718508090604,0.41193583269681067,0.13815309925419952,0.07891798956889787,0.28252252081265744,0.3952113892113885,0.45942834449195985,0.41869123048719753,0.3872692991175878,0.2921135009063684,0.3714785291708831,0.3501570946605689,0.32692222828184264,0.15653769426228095,0.1376027725229863,0.1580972760683218,0.2183036346123414,0.3168520600519572,0.32155342256708974,0.18371416403233465,0.04595646622502404,0.028531978878232712,0.040227633245871974,0.030462363688339662,0.028181816293271485,0.09439122308049608,0.1420955006128704,0.16287974159316962,0.08308678628235909,0.0650407901692549,0.014439538345453777,0.024705812169599158,0.14222018803122508,0.48973887772765,0.5766044122299362,0.6908674707883471,0.70728623329156,0.7560201399425707,0.666262269513796,0.4940831292350044,0.3559410718936211,0.30415122154988955,0.19665862088489172,0.3906952155031763,0.682967239963961,0.8274880214255731,0.7231993967936263,0.5507674316392646,0.49927182390888075,0.5243205948632169,0.4943407301967122,0.4211993851654056,0.3772519799508884,0.33869265852540764,0.4199289952515235,0.5624318114238764,0.6580202061465387,0.49957472683814264,0.328268924672257,0.3396277434245653,0.2785323981553302,0.37692638262105316,0.28991562827131895,0.3229016963619794,0.43587126253332364,0.5208827348255078,0.5789826597057528,0.4049249586725815,0.24328466043169997,0.08810062864646152,0.09283210328869558,0.13708372648103986,0.2993691438297172,0.6341522145543285,0.6507827174387916,0.7253982264825615,0.48301070988469397,0.43058146570282996,0.3495483063880504,0.37004322800682965,0.3364258026052335,0.3233587081692883,0.5035250183162294,0.6709096616456321,0.8572758334675671,0.8500025807995236,0.7941090625391064,0.4760038265896309,0.39727215126603405,0.41781357369708,0.43821139583287344,0.5788541564077693,0.6125182693717215,0.5858856534603606,0.5616176271055127,0.45948172707983354,0.2828033063784514,0.34059528867118266,0.8669900455525557,0.9348506457471961,0.9476595448712531,0.9172868508592917,0.9690681472325567,0.9590520926844754,0.8655477260448747,0.7939008096780668,0.9450172435789185,0.974461781060247,0.9730185391195338,0.9611021209187555,0.8847036692472594,0.8619735273908812,0.8409304230369111,0.8679553302446706,0.9381223234653581,0.9623031833544483,0.9810482347354542,0.9507863057649569,0.8921774641683381,0.8805785687554571,0.9205204426212651,0.9199940718458034,0.5901929679138125,0.5183249265453886,0.7150650629285272,0.9222296107465747,0.9663160947581548,0.9508065955479077,0.9383026026036936,0.934482096474469,0.9287160364266247,0.9183074125199056,0.8346556240731727,0.8044759291878316,0.7999577965708313,0.7712732556739693,0.7979990046950836,0.7551682855454849,0.7564928957354126,0.6830695031057258,0.5516256038528855,0.5808631895373368,0.5977442008908559,0.6596919576531147,0.6489058019485274,0.49048764597961114,0.33452544220511365,0.1898812057964487,0.34027366156856304,0.5443508038843394,0.5296263316322258,0.4943976864790583,0.4796641795906581,0.5881308631819179,0.5734281861640691,0.4548371667506701,0.3572496770258698,0.2970833866289508,0.3322268956304579,0.84994717075457,0.9582213908975407,0.9746884188958604,0.627391552735862,0.3591615512516615,0.2962783168933224,0.2946162565681194,0.29820225344247214,0.3219424649405969,0.33036690535912433,0.42055216168310705,0.2613320901009422,0.2646461626389262,0.33323661758687473,0.5008301650662813,0.4955618443071728,0.3868919236956421,0.2996850988034726
Financials,0.6746031746031746,0.6303315603751225,0.7371095955448669,0.7305006087159185,0.40231887846583325,0.1344205618912451,0.01903409525577508,0.42887933055169386,0.7584746960447922,0.7974487852172636,0.52168754122376,0.2782577433274144,0.5885962181418084,0.9267939063539888,0.9895638713222852,0.8594045232297841,0.3244091416038285,0.016809214209246977,0.3418459675168909,0.7062844034690335,0.821630535183308,0.637014055016997,0.3161599514214809,0.5317201512133259,0.7283456785377345,0.8584121939705699,0.7625353850417871,0.773979591740847,0.9227899699632606,0.9993573169579477,0.9859287407278401,0.9971752154797903,0.9707343007613469,0.9549332786731228,0.8922602638728113,0.8968899438259926,0.9607397089418516,0.9558165360986576,0.9597857587266416,0.8452973944301518,0.7879855017562799,0.7512490430931836,0.6516383864225883,0.6129412310962028,0.3502838130067025,0.28564250486775405,0.0391529125573068,0.0653454464598784,0.20293467489300615,0.543320029097835,0.724048973942016,0.6194801908347672,0.30196179808785206,0.17710475420827676,0.30887418747582795,0.4594660880350275,0.3722124797284675,0.30396835029630487,0.26459281562090503,0.2569756711483791,0.31303039252270504,0.4591198467132258,0.6024725441976422,0.5258047094565348,0.25123295400206125,0.017453420947371106,0.07264782980609649,0.31025902452823345,0.5685708540207307,0.5505355005383021,0.5087803473089995,0.3926210516935753,0.4089402179178177,0.4206070405382363,0.5165910708459077,0.7512503452774211,0.8604454015192781,0.8593468674688252,0.7124697024113468,0.2529427508843555,0.07811948312070742,0.09706744217383503,0.08548257534855493,0.14725913729219925,0.7496561447703968,0.8729924400598801,0.8938911912640737,0.8032285917742373,0.8515164707755092,0.9668595586639507,0.9881377592329649,0.9541789751457546,0.8913797778283826,0.904778939227484,0.9065134756710804,0.8791491032496719,0.8984897412282937,0.9761203699238201,0.9943184350188623,0.9521558156508372,0.925875161884059,0.9950791248050125,0.9149869085961351,0.7701519589783612,0.7531520379119025,0.7932353684488316,0.8444625424889832,0.8580217278875168,0.7696076282471224,0.8119570360782259,0.8347754588423518,0.9029153942106395,0.7468322663852098,0.5362691286890582,0.4509976207477241,0.3574147821411851,0.5922519864025109,0.5778998094473615,0.5730430453894488,0.3968394705607669,0.3105936211196855,0.32702484404020804,0.5863365972941224,0.8186050110220345,0.9516603620817334,0.9557097641664573,0.9239298292466551,0.8165103435003127,0.7893675194265529,0.6488795702890695,0.5883556055493833,0.5417127528867823,0.49978215842241075,0.513101312527518,0.37339995516988217,0.40126044542304534,0.6383876605323977,0.9458914071874431,0.9990576980414952,0.9979196689122305,0.9880681593021783,0.9886889323314089,0.9691871202324844,0.9350801371584792,0.653170162277283,0.6058307449856861,0.6640068986252339,0.7811583507460318,0.8391870149263644,0.8141935757142292,0.6538903724715122,0.5205959924344034,0.5768714963632566,0.6133777616329295,0.6309292934492999,0.5411910844877004,0.5358152106213289,0.4861662590978097,0.5832359574916789,0.6603577917767367,0.6970039729152373,0.7101662154703576,0.6606647493730414,0.6738156333276007,0.6928944078418675,0.6842467555110476,0.6120725236248236,0.6967866126994451,0.6623948092077806,0.6724157228263927,0.5940705411565615,0.5682131032022104,0.4792535621938015,0.44905527746982443,0.5100454196048065,0.8225190440499898,0.903293055921775,0.9315743501467545,0.9666962433411183,0.9581384524970705,0.9291922102068516,0.7400443069369658,0.5467965934090947,0.570193473271109,0.7207993497283839,0.7346983119707604,0.9712435741143168,0.9674872581753733,0.9665511428544862,0.9323298577231985,0.9384037031567336,0.9008324853368513,0.9028299045671847,0.8567987576308225,0.8852449527635403,0.8464348463973661,0.9616284418978168,0.9527449809126807,0.8604645533745984,0.47909039773805884,0.5558188511891726,0.5683859008540588,0.5486970652853242,0.42105707044277985,0.3863474344284802,0.5221413746643974,0.6660743664448389,0.6549416392904793,0.5003488313557576,0.4068611881657234,0.4819998391302386,0.4425424868195259,0.3418738242356328,0.2327515965781096,0.13465799041196405,0.5871622268426081,0.7571792019666299,0.9224505592096592,0.876964732975141,0.806887040857348,0.5366689698188428,0.4790072173961851,0.30562871976617995,0.4636546572938363,0.5660289932939342,0.6644961042313935,0.73299585896813,0.7372652586922258,0.6574906726310756,0.4543630161502038,0.4671018158051965,0.48659385484133877,0.3166584225622279,0.5935336654494003,0.657510340192067,0.7413128919480488,0.4319750287244906,0.3281035682733967,0.13213658672398404,0.4428930237237906,0.9680331688200936,0.9789772023924441,0.9734913717328304,0.9601272275983604,0.96183111041587,0.9579004278734886,0.8785558509775159,0.7154326142174582,0.8502056305423171,0.8850349983449167,0.8994777260901037,0.7864778409339191,0.6988824905302905,0.6572613251425545,0.6530585630797128,0.706204559251347,0.8819941604821057,0.9336788977543982,0.9077169701588165,0.7698632442235042,0.5656288791581241,0.7578659242648915,0.7653646080633382,0.748223262714248,0.7835556527373279,0.692123648419774,0.7958357757149412,0.7547054401830248,0.8457774263850053,0.765163233609394,0.7574746217252765,0.857927450078026,0.8572322414911439,0.7140991967388918,0.4348178112723088,0.16652389057265535,0.35319408262550483,0.49141465868000295,0.6136389260271705,0.5110654118218712,0.414983325067458,0.2907321548259837,0.20489583693951025,0.24020094140687698,0.4379569483818992,0.39032048016217075,0.3307768697195085,0.1759865676032743,0.11594678961528675,0.09143813850678253,0.06700763098024545,0.17655665910248527,0.1267482315212292,0.24459220118645775,0.22383419086676262,0.28516305372335243,0.49417775913219353,0.5777920339667918,0.6640068409516724,0.4117373862302896,0.424587433480262,0.8054054213789248,0.9293694113457657,0.9443890646860377,0.5797271372062106,0.24468405567659968,0.15936047745388773,0.21336759493854562,0.18583176838484325,0.13057997280507008,0.10329999915891211,0.06209578244755785,0.11195966955014997,0.22884759575443964,0.27709457526189524,0.13725842082732873,0.02239903562069023,0.0048055413457771985,0.00858023047411002
Industrials,0.9563492063492064,0.9408128216051396,0.8926012341359845,0.7005820274318681,0.3133197983946721,0.04978408394570838,0.029419096948943825,0.32801135876189647,0.655073055055119,0.7645685633318134,0.582745418282259,0.552871515502801,0.8330703465069107,0.9915605666574375,0.9932501056239144,0.9512060610707331,0.8029173357061866,0.7285549204153906,0.7852843546641072,0.9029603880218594,0.8997856649766672,0.8657358826033918,0.8186342012855542,0.8281891195370968,0.8969497967523713,0.9161928425230067,0.9336045982713955,0.9497427554114127,0.9540148602597545,0.9951894295442045,0.9777326870475023,0.9957193965062355,0.9417062773818797,0.9561536222238975,0.8845347232917304,0.897864698898491,0.9410985582349117,0.9550616605018047,0.9546327575819509,0.8760998775791891,0.7934963553714954,0.696327316278287,0.6131168131559118,0.6684816318102227,0.6459600199850052,0.5049712630923463,0.3903981482124485,0.47431335536248914,0.5248205404554642,0.7458558600771659,0.8014710603315038,0.8294568470534449,0.8016336240045279,0.8438824642489507,0.8399467651980256,0.8331919906909879,0.5832548040549621,0.46409204195038717,0.38152646713528526,0.31812617143756516,0.34131282955510694,0.5179393572669152,0.7984736680850395,0.8480381536898076,0.809710983302882,0.5513187823887141,0.45748993888213574,0.40166817170176516,0.47202051563200326,0.4430712271584754,0.410347562066529,0.27640982922929935,0.39184112351905126,0.40010717669897566,0.6300390340869596,0.813194909511666,0.9260605658732659,0.8746639771663619,0.7734544238951788,0.6067787785130186,0.3175860002915391,0.2468063172965138,0.19705998393152563,0.3837671973495596,0.7033354348750797,0.7505889543985684,0.6695515573945321,0.45501285474879927,0.6220669885258486,0.9269808772494118,0.9926523976228391,0.9780103304706702,0.9691517108974714,0.934245710981547,0.971236531000649,0.9478289287593163,0.9600516101114718,0.955721554863245,0.899497201270948,0.812030474447331,0.8052776826125615,0.9000494359479024,0.9737916120774386,0.9990402716601514,0.9995438328348795,0.9933820169933,0.9853133651911257,0.9677749924609671,0.965766985404366,0.9701006955947449,0.9711790260070812,0.9518539180528071,0.9366944373823011,0.9200333521155944,0.8509992829702924,0.6876044604719735,0.7303623394557105,0.788695712727861,0.7793541456278253,0.8083992393002752,0.762400221813189,0.7305338464452562,0.9700977863856777,0.9998068045620255,0.9991788116525727,0.9861679544168408,0.9750723932969705,0.9579975239630776,0.895331508232786,0.8188086665547846,0.5436922187770495,0.4837548230387613,0.6906316637637644,0.8121303694204917,0.8191004191360747,0.7649476921598594,0.8713732050992731,0.9718866448028968,0.9937203976112767,0.993895439794333,0.9709410598561092,0.9544268556278792,0.9418285998008571,0.8917557495917388,0.7414095235294959,0.7320442884636034,0.7915932635436996,0.8598754896521476,0.8735446314471829,0.870428784487936,0.7930686608421315,0.49922752679942517,0.49798889639695015,0.5666586216641039,0.7686050062376074,0.6387786882047387,0.6056278429148926,0.48956493561090164,0.6103886257657676,0.6996533321926919,0.8001597338200093,0.764852678421337,0.6669873731160159,0.5797536208512601,0.4559762770674586,0.3848473670075537,0.3722075433930979,0.6793257502231755,0.7420153179518817,0.7830190804006294,0.7206009048084231,0.7411731618668105,0.5762475020708927,0.6896434796270839,0.6191542563769306,0.8416377116421034,0.8442219762638087,0.8182744690349533,0.7679632542612481,0.6610262190385625,0.7856462297354991,0.5395415466469929,0.40501496426230077,0.33838416280951034,0.4306818277858687,0.7143180373652482,0.9357804659084037,0.9380979653737913,0.8874047870672646,0.6255962897624374,0.5522294174124214,0.711282227825554,0.7911240034905883,0.584768954558521,0.45562991105124295,0.4917693618030335,0.8535504614717121,0.8089732968454904,0.7235382138851031,0.32471207266343277,0.4010274800486614,0.3484906009510527,0.2875968043544213,0.18065264563469538,0.19733971660784527,0.2998596243221473,0.49021005160069536,0.4074450349127405,0.31017071938109786,0.1623981880892926,0.1612741347904106,0.11081966340621716,0.08324782470185069,0.09035457354178054,0.10797394889311374,0.5247703551116871,0.7624996636861399,0.8581259159980673,0.7359519225706297,0.6397445402904803,0.40777748972486594,0.4508896316117739,0.34584200800705933,0.4072425817258447,0.4982168002171896,0.6757117309126836,0.8431624930686688,0.841539209162679,0.7561698318290004,0.3874634848747624,0.4833530151803141,0.6928916334154995,0.6066110185499324,0.6596232235594747,0.6450827226603641,0.6847375676151315,0.4542372252277992,0.32317206982015056,0.22019715309821136,0.39050791724841727,0.9239881100396264,0.9584010509521305,0.9557436892645216,0.9338728894298615,0.9048452032720905,0.8709541528947983,0.6891995975222929,0.6248189461588104,0.8001612844701518,0.6849770397022151,0.5604072528648385,0.339840665588146,0.3147297509166282,0.28655399327818276,0.3293773075920984,0.39186244013642546,0.5152821953581542,0.5844610586541591,0.5410071102382555,0.44509600100357166,0.1833360872692638,0.28471360512619676,0.31044348945305716,0.37766378084545504,0.19944096294350616,0.12717472456371623,0.23436464709814958,0.452656163747813,0.6421121830308367,0.7142913462090256,0.75675973348888,0.8521409276947655,0.8366344645235796,0.8042303521905355,0.5591496313929225,0.3622283495906546,0.2996986226944607,0.28122746674323307,0.411869038469675,0.6002276668632535,0.5061663628510276,0.19423146243911107,0.05810122391193033,0.07553443717659264,0.14673756966774276,0.1682986878397778,0.15000661843617247,0.07164220998996025,0.030323660845131654,0.018630131553617684,0.037720445583694535,0.08647563261109074,0.0899929186005381,0.1561303610485141,0.1876242697540091,0.17692294977877557,0.17233086427533556,0.15448068044491897,0.22947074008447516,0.1317781969603087,0.1508601010168853,0.6599224103345036,0.8618581532333658,0.8783122503214491,0.34904911898705593,0.07468130538134185,0.037253136995287366,0.08384876222776438,0.06133711929231981,0.08181443134523715,0.1593064431060763,0.23034917399494073,0.2761509661950112,0.32993720404422844,0.312412507185981,0.28987406027326906,0.16534735544973544,0.11031245915063147,0.10176117925311075
Technology,0.3134920634920635,0.7227127061339587,0.9990270250853321,0.9983693921805877,0.9393450327552708,0.8160055717039477,0.7142246302310558,0.6210033129156215,0.7374669349917219,0.8158822786554583,0.9223596994697549,0.9225611809934883,0.9312015004321018,0.9206175465102675,0.9958284363431027,0.9884617296019979,0.8682561876806923,0.8302396145707568,0.7242011855223098,0.836408714490466,0.8066738158437142,0.7610084358065545,0.6656955903373404,0.595849823645509,0.5886824517334974,0.5385932051959279,0.7919370938020612,0.6778141993021787,0.8418022365329372,0.8804496192014681,0.9546116688198717,0.912332492618548,0.9154813798548436,0.9368511547163145,0.9796439201935682,0.9573395796332029,0.7576038601156583,0.6335390119758937,0.4555061403992622,0.4139324098982862,0.36193019748844885,0.3353266660926198,0.32778399067428765,0.3345214698658497,0.3920140814824678,0.45567036398005956,0.39267965645812397,0.32475238965204056,0.2893228245745415,0.35653734280160926,0.4508275552681198,0.5052548571428608,0.5148736837816693,0.5525685428245346,0.5312317444081995,0.428452752718992,0.26750123054510977,0.17091078749903352,0.11702733082101444,0.13973350364497944,0.13548169125423326,0.20893873905878066,0.26998850597149915,0.31350494798983325,0.1809025574842878,0.01678759123147332,0.0028777646946370012,0.008907859156836997,0.01785669701881587,0.044759683295937616,0.1152565877544314,0.16372934656965932,0.23117502495148817,0.1541474701259266,0.1233995041042204,0.24555223215765773,0.35730248274411747,0.41731379057518725,0.33857790252255787,0.21710273360610985,0.19188468972430353,0.21997954245158285,0.19252414641091814,0.12999804894825806,0.2538882579643493,0.30854848958275194,0.25337799898294777,0.0678950371781877,0.1540850938321769,0.39666186134848724,0.5074804853783246,0.49054470613074935,0.5197713034199223,0.5528893043628228,0.5949369817849098,0.552354660095759,0.47668887158001094,0.5524718181069964,0.6411995247087455,0.7093805837482291,0.5365151921049532,0.38185345777684043,0.40608353154628657,0.9002176526139962,0.9967536895892913,0.995059888375799,0.9732602724003538,0.9323415910433651,0.9205940492150785,0.9655496655951454,0.9193201008709917,0.797454960170164,0.6324423604794042,0.626241426694139,0.5470213541131611,0.4909598024014856,0.5656394801338814,0.4877234268864475,0.46941634848310404,0.6729011754216336,0.7672017598912907,0.7169323594807893,0.7977587022338258,0.9828449027371987,0.9988593001788018,0.9296752828590176,0.6681465661094893,0.3207447179050969,0.1567204608198552,0.08538850882572419,0.04865984665120556,0.10246003322812368,0.2700968060584017,0.3857131303445591,0.41172282298559904,0.42187731385651955,0.5818633689780651,0.9284356537607018,0.9922296037387502,0.9948647659262995,0.9483223286620321,0.9309934393791731,0.8698620662768823,0.7259078883491938,0.38711917406858115,0.31505181669387305,0.34990773813678694,0.5952342919797398,0.7828515088318164,0.845546581137137,0.7381673799024178,0.39024525079046385,0.2791510842010697,0.1799040576003999,0.23917941093370917,0.13618588331647283,0.255527048991416,0.22743677938039059,0.17737766027527693,0.0932962126152844,0.04995823173780975,0.06237158248751695,0.04708080627863653,0.035384956326028415,0.03490243329719757,0.014696695207983638,0.01763618715846147,0.11208118501569293,0.2477985661745572,0.40055703057825937,0.3184075603583951,0.20304334222123852,0.024244466007395347,0.0019457768609421231,0.018629359702910978,0.4287873139802773,0.6258705423737301,0.6595176135941471,0.5614562079553675,0.46167284336937686,0.40610168740954045,0.31949181611696065,0.20015409596940606,0.18865046896414467,0.19601354622445594,0.3123068693229239,0.6950616529870915,0.7091523919698708,0.5625001415573243,0.24176980239535742,0.3830004408389009,0.6354632536288571,0.7216762815339229,0.5613427049989296,0.2502880444207149,0.20070415570860434,0.5190420382254176,0.6045974850080997,0.5562809111479914,0.2757099862091095,0.32189752038902003,0.36640549389763405,0.36029913331555696,0.2708872857278915,0.075692410634909,0.023797820686822246,0.10445149759738316,0.26232339746263333,0.4128630477120206,0.5360198840593928,0.5595333273600089,0.3286898052645067,0.05176621244036841,0.08587079038880788,0.21678827169725845,0.7866678124034703,0.8761547613494485,0.9635967010609874,0.9108803181594759,0.84593220737268,0.539165622072511,0.25396355546434746,0.16107683890562918,0.32191810539134813,0.6642859311683816,0.8490079381729511,0.9298948130988967,0.914951093967116,0.8458866715903991,0.5046434810166207,0.4578171345219611,0.6102668824083921,0.6003726543071003,0.7564815915085089,0.7843965158091155,0.7984642631478687,0.5554917699540528,0.3966317012933322,0.3082128182642294,0.5836456815787298,0.9729152085527926,0.9985695285978512,0.9961629505862503,0.9823542340720505,0.8335354002068641,0.47132758981267625,0.3957442077678776,0.42291478566631296,0.6464758203037995,0.5670119816425806,0.3859828207071903,0.21383501111968775,0.5424339347003663,0.7224987794593781,0.8367884196340624,0.7467420542131439,0.5651674602232997,0.2728431149721787,0.15778047956602279,0.321817390220001,0.2815515169129343,0.38169286050677215,0.47254913708174084,0.7529848378000459,0.8995231974472937,0.9451934067168558,0.98034577023077,0.9840369528890633,0.9855191036912059,0.9545626696423833,0.9479970304638321,0.9699353703687963,0.9798487469279431,0.9833949404683532,0.9610924351978868,0.9133344568585092,0.8171986715432256,0.6767887799608746,0.5087496734706054,0.4071795077272998,0.3695409089723778,0.40185075685116944,0.4313387376526168,0.45584335717795094,0.5151468618886478,0.35175931738787647,0.40988542532482486,0.3319322367230892,0.39779989564745366,0.2792049067115838,0.2825277804153136,0.07387548725968128,0.06920738606822274,0.4131855223970656,0.7154102725510675,0.7508897380838369,0.5334673317408537,0.30925670170729763,0.2772916858163696,0.15703780670652998,0.26839743264638594,0.7916888235945791,0.9660514438272969,0.9898718423546178,0.6393986848835852,0.1792065073330129,0.010924442506812475,0.012783675685432802,0.06985606927096788,0.21703411190067812,0.18581575553980015,0.07229300276795099,0.034541400388511986,0.06253576729840046,0.03329027991897678,0.042133922788651725,0.019395419814287745,0.025878253525651422,0.0188612840539474
